month	page_namespace	n
201207	11	319
201207	12	9
201207	13	37
201207	14	37134
201207	15	490
201207	100	1081
201207	101	60
201207	108	11
201207	109	2607
201207	118	13
201207	119	2
201207	829	9
201208	0	357098
201208	1	34192
201208	2	49492
201208	3	63823
201208	4	63260
201208	5	3746
201208	6	1999
201208	7	39
201208	9	27
201208	10	25428
201208	11	343
201208	13	53
201208	14	27682
201208	15	1857
201208	100	1077
201208	101	58
201208	108	8
201208	109	2314
201208	118	12
201208	829	5
201209	0	291149
201209	1	545717
201209	2	51143
201209	3	83652
201209	4	65697
201209	5	3862
201209	6	2233
201209	7	82
201209	9	15
201209	10	8778
201209	11	329
201209	12	14
201209	13	65
201209	14	24994
201209	15	4766
201209	100	2387
201209	101	113
201209	108	6
201209	109	2992
201209	118	8
201209	119	9
201209	829	13
201210	0	420756
201210	1	45940
201210	2	57996
201210	3	95035
201210	4	70681
201210	5	4063
201210	6	253138
201210	7	50
201210	8	1
201210	9	28
201210	10	16214
201210	11	920
201210	12	12
201210	13	60
201210	14	39445
201210	15	31
201210	100	852
201210	101	104
201210	108	9
201210	109	3264
201210	118	13
201210	119	2
201210	829	20
201211	0	556968
201211	1	27953
201211	2	56260
201211	3	87556
201211	4	62421
201211	5	4011
201211	6	5523
201211	7	81
201211	9	29
201211	10	10102
201211	11	1089
201211	12	15
201211	13	60
201211	14	28570
201211	15	29
201211	100	884
201211	101	109
201211	108	8
201211	118	22
201211	119	1
201211	829	2
201212	0	441813
201212	1	29319
201212	2	67293
201212	3	89255
201212	4	70809
201212	5	3397
201212	6	2389
201212	7	75
201212	8	1
201212	9	28
201212	10	12716
201212	11	380
201212	12	10
201212	13	45
201212	14	29930
201212	15	27
201212	100	877
201212	101	123
201212	108	7
201212	109	1
201212	118	17
201212	119	4
201212	829	19
201301	0	479835
201301	1	33847
201301	2	56808
201301	3	92202
201301	4	80180
201301	5	3808
201301	6	6866
201301	7	194
201301	8	2
201301	9	25
201301	10	10981
201301	11	435
201301	12	8
201301	13	51
201301	14	64091
201301	15	1338
201301	100	781
201301	101	90
201301	108	6
201301	109	3053
201301	118	19
201301	829	15
201302	0	1068402
201302	1	47276
201302	2	67327
201302	3	79435
201302	4	67623
201302	5	3676
201302	6	909
201302	7	94
201302	9	14
201302	10	22629
201302	11	352
201302	12	10
201302	13	53
201302	14	39990
201302	15	34
201302	100	1237
201302	101	86
201302	108	8
201302	109	3275
201302	118	17
201302	119	1
201302	828	4
201302	829	22
201303	0	1724655
201303	1	28414
201303	2	72847
201303	3	73931
201303	4	73247
201303	5	3859
201303	6	2084
201303	7	90
201303	9	23
201303	10	26002
201303	11	409
201303	12	127
201303	13	73
201303	14	305091
201303	15	659
201303	100	1065
201303	101	106
201303	108	9
201303	109	4376
201303	118	37
201303	828	11
201303	829	32
201304	0	278969
201304	1	61037
201304	2	39627
201304	3	83868
201304	4	67074
201304	5	4424
201304	6	5670
201304	7	303
201304	8	2
201304	9	32
201304	10	16669
201304	11	460
201304	12	26
201304	13	46
201304	14	46120
201304	15	1925
201304	100	1067
201304	101	93
201304	108	17
201304	109	2549
201304	118	50
201304	829	3
201305	0	149110
201305	1	60739
201305	2	47366
201305	3	84000
201305	4	71215
201305	5	3287
201305	6	16603
201305	7	78
201305	9	17
201305	10	16660
201305	11	357
201305	12	13
201305	13	51
201305	14	3056
201305	15	1506
201305	100	576
201305	101	75
201305	108	7
201305	109	41
201305	118	12
201305	447	1
201305	829	5
201306	0	157915
201306	1	94308
201306	2	49258
201306	3	73727
201306	4	84418
201306	5	3508
201306	6	16289
201306	7	96
201306	8	2
201306	9	18
201306	10	11857
201306	11	305
201306	12	10
201306	13	51
201306	14	880
201306	15	3070
201306	100	725
201306	101	96
201306	108	6
201306	109	89
201306	118	22
201306	829	3
201307	0	111101
201307	1	82019
201307	2	47792
201307	3	61732
201307	4	82416
201307	5	3592
201307	6	5046
201307	7	36
201307	9	12
201307	10	14922
201307	11	326
201307	12	15
201307	13	56
201307	14	1345
201307	15	2994
201307	100	823
201307	101	84
201307	108	10
201307	109	107
201307	118	38
201307	119	1
201307	710	1
201307	829	2
201308	0	212378
201308	1	57901
201308	2	41562
201308	3	138595
201308	4	82809
201308	5	3522
201308	6	2565
201308	7	71
201308	9	12
201308	10	15295
201308	11	374
201308	12	9
201308	13	34
201308	14	1676
201308	15	1543
201308	100	2146
201308	101	121
201308	108	7
201308	109	60
201308	118	24
201308	119	1
201308	829	2
201309	0	236051
201309	1	76729
201309	2	64882
201309	3	89748
201309	4	74463
201309	5	3407
201309	6	2610
201309	7	334
201309	8	2
201309	9	25
201309	10	9358
201309	11	317
201309	12	2
201309	13	40
201309	14	2385
201309	15	6349
201309	100	704
201309	101	118
201309	108	7
201309	109	6992
201309	118	69
201309	447	2
201309	710	2
201310	0	140408
201310	1	68280
201310	2	54191
201310	3	67334
201310	4	75004
201310	5	2228
201310	6	1946
201310	7	683
201310	8	3
201310	9	4
201310	10	8074
201310	11	614
201310	12	3
201310	13	25
201310	14	2186
201310	15	3187
201310	100	395
201310	101	98
201310	108	12
201310	109	5812
201310	118	15
201310	447	2
201310	829	18
201311	0	138472
201311	1	25900
201311	2	49493
201311	3	86928
201311	4	69612
201311	5	2849
201311	6	1829
201311	7	136
201311	8	2
201311	9	22
201311	10	10186
201311	11	17044
201311	13	43
201311	14	282
201311	15	192
201311	100	203
201311	101	140
201311	108	6
201311	109	4817
201311	118	15
201311	119	1
201311	829	129
201312	0	159971
201312	1	36770
201312	2	43597
201312	3	90966
201312	4	77685
201312	5	2912
201312	6	2203
201312	7	69
201312	9	24
201312	10	8607
201312	11	566
201312	12	5
201312	13	55
201312	14	38610
201312	15	59
201312	100	258
201312	101	182
201312	108	5
201312	109	6456
201312	118	16
201312	119	1
201312	828	1
201312	829	16
201401	0	252828
201401	1	28162
201401	2	60398
201401	3	105150
201401	4	103265
201401	5	3535
201401	6	4430
201401	7	117
201401	8	3
201401	9	145
201401	10	8380
201401	11	2096
201401	12	7
201401	13	75
201401	14	27835
201401	15	46
201401	100	364
201401	101	242
201401	108	5
201401	109	6261
201401	118	40
201401	119	1
201401	447	1
201401	828	2
201401	829	44
201402	0	164672
201402	1	19274
201402	2	54493
201402	3	94309
201402	4	76404
201402	5	3376
201402	6	3408
201402	7	72
201402	9	13
201402	10	8402
201402	11	473
201402	12	4
201402	13	39
201402	14	985
201402	15	23
201402	100	221
201402	101	149
201402	108	4
201402	109	5042
201402	118	25
201402	119	1
201402	447	1
201402	829	13
201403	0	178846
201403	1	21458
201403	2	57424
201403	3	98888
201403	4	79604
201403	5	3449
201403	6	2247
201403	7	89
201403	9	18
201403	10	8405
201403	11	569
201403	12	3
201403	13	51
201403	14	214
201403	15	147
201403	100	228
201403	101	103
201403	108	5
201403	109	5683
201403	118	27
201403	119	4
201403	829	43
201404	0	224662
201404	1	27057
201404	2	49866
201404	3	89397
201404	4	77437
201404	5	3365
201404	6	3831
201404	7	99
201404	8	1
201404	9	29
201404	10	7975
201404	11	460
201404	12	2
201404	13	59
201404	14	513
201404	15	441
201404	100	255
201404	101	97
201404	108	8
201404	109	2251
201404	118	28
201404	119	6
201404	828	1
201404	829	40
201405	0	192220
201405	1	51017
201405	2	45817
201405	3	88204
201405	4	63746
201405	5	3553
201405	6	22585
201405	7	807
201405	8	1
201405	9	15
201405	10	8612
201405	11	2047
201405	12	3
201405	13	74
201405	14	1293
201405	15	4850
201405	100	282
201405	101	265
201405	108	7
201405	109	3644
201405	118	62
201405	119	9
201405	829	29
201406	0	138838
201406	1	20121
201406	2	44315
201406	3	80238
201406	4	72983
201406	5	3286
201406	6	1797
201406	7	43
201406	9	18
201406	10	6472
201406	11	515
201406	12	5
201406	13	49
201406	14	919
201406	15	29
201406	100	587
201406	101	82
201406	108	11
201406	109	5547
201406	118	200
201406	119	17
201406	710	1
201406	829	26
201407	0	225872
201407	1	69286
201407	2	40353
201407	3	70856
201407	4	77005
201407	5	3035
201407	6	964
201407	7	439
201407	9	20
201407	10	7332
201407	11	2909
201407	12	6
201407	13	56
201407	14	1493
201407	15	6762
201407	100	189
201407	101	105
201407	108	6
201407	109	5591
201407	118	109
201407	119	14
201407	829	14
201408	0	147609
201408	1	43456
201408	2	43168
201408	3	74619
201408	4	76225
201408	5	3236
201408	6	940
201408	7	65
201408	8	1
201408	9	16
201408	10	17027
201408	11	1545
201408	12	5
201408	13	43
201408	14	1098
201408	15	322
201408	100	235
201408	101	77
201408	108	3
201408	109	5957
201408	118	100
201408	119	5
201408	829	31
201409	0	220138
201409	1	52127
201409	2	43154
201409	3	84535
201409	4	74316
201409	5	3015
201409	6	813
201409	7	50
201409	9	12
201409	10	6797
201409	11	589
201409	13	66
201409	14	1585
201409	15	1069
201409	100	201
201409	101	87
201409	108	5
201409	109	5906
201409	118	137
201409	119	10
201409	829	57
201410	0	122651
201410	1	47499
201410	2	42323
201410	3	83599
201410	4	82718
201410	5	5367
201410	6	876
201410	7	195
201410	8	2
201410	9	15
201410	10	6728
201410	11	1836
201410	12	12
201410	13	85
201410	14	287
201410	15	4544
201410	100	260
201410	101	84
201410	108	2
201410	109	6305
201410	118	150
201410	119	15
201410	829	28
201411	0	182983
201411	1	16230
201411	2	43990
201411	3	67747
201411	4	71673
201411	5	2888
201411	6	2290
201411	7	19
201411	9	16
201411	10	10435
201411	11	490
201411	12	34
201411	13	57
201411	14	1149
201411	15	44
201411	100	351
201411	101	75
201411	108	4
201411	109	5907
201411	118	158
201411	119	12
201411	447	1
201411	829	29
201412	0	175829
201412	1	70127
201412	2	60943
201412	3	71634
201412	4	78906
201412	5	3398
201412	6	2487
201412	7	1341
201412	9	14
201412	10	7690
201412	11	1618
201412	12	20
201412	13	82
201412	14	1238
201412	15	2404
201412	100	360
201412	101	173
201412	108	2
201412	109	6749
201412	118	196
201412	119	10
201412	828	1
201412	829	29
201501	0	178838
201501	1	28174
201501	2	67873
201501	3	72510
201501	4	85825
201501	5	6454
201501	6	2371
201501	7	31
201501	8	2
201501	9	30
201501	10	8117
201501	11	719
201501	12	4
201501	13	53
201501	14	1341
201501	15	200
201501	100	1720
201501	101	124
201501	108	2
201501	109	6799
201501	118	228
201501	119	23
201501	829	44
201502	0	157221
201502	1	36639
201502	2	76968
201502	3	71840
201502	4	89326
201502	5	3551
201502	6	1985
201502	7	127
201502	8	1
201502	9	44
201502	10	6969
201502	11	765
201502	12	3
201502	13	52
201502	14	429
201502	15	148
201502	100	870
201502	101	81
201502	108	7
201502	109	6243
201502	118	255
201502	119	21
201502	447	1
201502	829	45
201503	0	146293
201503	1	24023
201503	2	89124
201503	3	588287
201503	4	84054
201503	5	3219
201503	6	1580
201503	7	20
201503	8	1
201503	9	15
201503	10	7427
201503	11	723
201503	12	13
201503	13	80
201503	14	2253
201503	15	25
201503	100	3897
201503	101	84
201503	108	1
201503	109	7277
201503	118	203
201503	119	21
201503	829	54
201504	0	333549
201504	1	52465
201504	2	124294
201504	3	1097870
201504	4	78901
201504	5	4381
201504	6	1041
201504	7	90
201504	9	26
201504	10	8679
201504	11	916
201504	12	6
201504	13	98
201504	14	607
201504	15	2285
201504	100	2359
201504	101	75
201504	108	9
201504	109	6696
201504	118	187
201504	119	18
201504	829	52
201505	0	349882
201505	1	28395
201505	2	73420
201505	3	74487
201505	4	92055
201505	5	4581
201505	6	12283
201505	7	34
201505	9	16
201505	10	7150
201505	11	593
201505	12	5
201505	13	59
201505	14	3657
201505	15	806
201505	100	664
201505	101	106
201505	108	6
201505	109	7898
201505	118	170
201505	119	20
201505	829	49
201506	0	222073
201506	1	21102
201506	2	58545
201506	3	57811
201506	4	71070
201506	5	3464
201506	6	4272
201506	7	132
201506	9	18
201506	10	6449
201506	11	735
201506	12	2
201506	13	40
201506	14	1447
201506	15	215
201506	100	406
201506	101	206
201506	108	4
201506	109	5910
201506	118	189
201506	119	14
201506	829	42
201507	0	124617
201507	1	24760
201507	2	71078
201507	3	81616
201507	4	89464
201507	5	3033
201507	6	5348
201507	7	20
201507	8	1
201507	9	14
201507	10	17689
201507	11	548
201507	12	7
201507	13	43
201507	14	5826
201507	15	43
201507	100	219
201507	101	95
201507	108	5
201507	109	7462
201507	118	241
201507	119	19
201507	829	40
201508	0	195779
201508	1	40148
201508	2	73242
201508	3	66628
201508	4	90017
201508	5	3377
201508	6	2459
201508	7	13
201508	9	10
201508	10	7699
201508	11	547
201508	12	12
201508	13	40
201508	14	19193
201508	15	40
201508	100	395
201508	101	128
201508	108	3
201508	109	8461
201508	118	226
201508	119	20
201508	829	35
201509	0	191710
201509	1	21514
201509	2	79154
201509	3	97484
201509	4	94736
201509	5	4067
201509	6	3664
201509	7	12
201509	9	29
201509	10	9739
201509	11	527
201509	12	26
201509	13	85
201509	14	8153
201509	15	96
201509	100	229
201509	101	94
201509	108	5
201509	109	6718
201509	118	211
201509	119	22
201509	447	1
201509	829	27
201510	0	154723
201510	1	25155
201510	2	81647
201510	3	80002
201510	4	90891
201510	5	3508
201510	6	2990
201510	7	19
201510	9	23
201510	10	8540
201510	11	1257
201510	12	6
201510	13	51
201510	14	473
201510	15	39
201510	100	238
201510	101	116
201510	108	4
201510	109	13606
201510	118	324
201510	119	25
201510	828	1
201510	829	18
201511	0	113810
201511	1	39861
201511	2	71853
201511	3	188319
201511	4	91923
201511	5	3119
201511	6	1496
201511	7	10
201511	9	15
201511	10	7407
201511	11	460
201511	12	12
201511	13	78
201511	14	413
201511	15	4359
201511	100	200
201511	101	85
201511	108	6
201511	109	9683
201511	118	188
201511	119	13
201511	829	21
201512	0	145299
201512	1	32184
201512	2	72006
201512	3	70201
201512	4	97106
201512	5	3147
201512	6	4209
201512	7	18
201512	8	1
201512	9	29
201512	10	7837
201512	11	641
201512	12	47
201512	13	139
201512	14	444
201512	15	2334
201512	100	258
201512	101	78
201512	108	7
201512	109	8168
201512	118	232
201512	119	32
201512	829	31
201601	0	188577
201601	1	92701
201601	2	71837
201601	3	75389
201601	4	88290
201601	5	3210
201601	6	2807
201601	7	81
201601	8	1
201601	9	16
201601	10	7319
201601	11	744
201601	12	2
201601	13	52
201601	14	2256
201601	15	1064
201601	100	234
201601	101	108
201601	108	5
201601	109	9269
201601	118	265
201601	119	40
201601	447	1
201601	829	21
201602	0	389616
201602	1	127997
201602	2	63678
201602	3	92123
201602	4	85124
201602	5	2850
201602	6	3784
201602	7	16
201602	9	7
201602	10	7589
201602	11	592
201602	12	5
201602	13	75
201602	14	684
201602	15	6932
201602	100	138
201602	101	54
201602	108	2
201602	109	10883
201602	118	265
201602	119	18
201602	829	15
201603	0	536180
201603	1	118586
201603	2	64841
201603	3	225553
201603	4	94434
201603	5	2911
201603	6	3481
201603	7	13
201603	9	13
201603	10	8198
201603	11	745
201603	12	3
201603	13	66
201603	14	337
201603	15	4544
201603	100	223
201603	101	101
201603	108	4
201603	109	12990
201603	118	372
201603	119	30
201603	829	50
201604	0	415936
201604	1	169379
201604	2	73544
201604	3	136743
201604	4	99140
201604	5	3245
201604	6	3302
201604	7	5581
201604	9	20
201604	10	14533
201604	11	8729
201604	12	8
201604	13	81
201604	14	12383
201604	15	3415
201604	100	515
201604	101	211
201604	108	32
201604	109	2223
201604	118	405
201604	119	36
201604	828	1
201604	829	34
201605	0	432472
201605	1	71668
201605	2	68673
201605	3	96017
201605	4	96413
201605	5	2827
201605	6	2390
201605	7	13
201605	9	10
201605	10	7572
201605	11	689
201605	12	4
201605	13	61
201605	14	509
201605	15	447
201605	100	664
201605	101	87
201605	108	1
201605	109	2125
201605	118	437
201605	119	33
201605	829	21
201606	0	341169
201606	1	61670
201606	2	73034
201606	3	65558
201606	4	89943
201606	5	2980
201606	6	2296
201606	7	93
201606	9	9
201606	10	8436
201606	11	641
201606	12	4
201606	13	67
201606	14	429
201606	15	779
201606	100	730
201606	101	103
201606	108	2
201606	109	1986
201606	118	482
201606	119	88
201606	829	43
201607	0	200933
201607	1	87037
201607	2	87588
201607	3	54196
201607	4	94002
201607	5	2946
201607	6	14466
201607	7	4
201607	9	28
201607	10	8187
201607	11	25229
201607	12	1
201607	13	68
201607	14	351
201607	15	14596
201607	100	771
201607	101	108
201607	108	1
201607	109	2113
201607	118	729
201607	119	41
201607	829	34
201608	0	190814
201608	1	25725
201608	2	85622
201608	3	58210
201608	4	95072
201608	5	3068
201608	6	2483
201608	7	15
201608	9	62
201608	10	6519
201608	11	890
201608	12	7
201608	13	53
201608	14	3705
201608	15	577
201608	100	724
201608	101	107
201608	108	7
201608	109	1949
201608	118	528
201608	119	26
201608	447	2
201608	828	1
201608	829	28
201609	0	454920
201609	1	44824
201609	2	78543
201609	3	64299
201609	4	92410
201609	5	2831
201609	6	2369
201609	7	22
201609	9	39
201609	10	6996
201609	11	1145
201609	12	8
201609	13	54
201609	14	1667
201609	15	552
201609	100	582
201609	101	97
201609	108	6
201609	109	2053
201609	118	601
201609	119	43
201609	828	2
201609	829	137
201610	0	406863
201610	1	116769
201610	2	84529
201610	3	70004
201610	4	98916
201610	5	3302
201610	6	2565
201610	7	64
201610	9	66
201610	10	8293
201610	11	753
201610	12	4
201610	13	57
201610	14	542
201610	15	361
201610	100	659
201610	101	92
201610	108	4
201610	109	2034
201610	118	674
201610	119	45
201610	829	22
201611	0	564981
201611	1	110665
201611	2	77615
201611	3	145803
201611	4	98370
201611	5	3459
201611	6	2745
201611	7	19
201611	9	72
201611	10	7690
201611	11	739
201611	12	6
201611	13	79
201611	14	559
201611	15	502
201611	100	506
201611	101	82
201611	108	2
201611	109	1914
201611	118	1020
201611	119	45
201611	829	39
201612	0	415508
201612	1	87119
201612	2	75785
201612	3	98289
201612	4	75225
201612	5	3930
201612	6	5117
201612	7	29
201612	9	49
201612	10	8511
201612	11	3851
201612	12	5
201612	13	73
201612	14	773
201612	15	354
201612	100	770
201612	101	101
201612	108	2
201612	109	2200
201612	118	1051
201612	119	142
201612	829	27
201701	0	346012
201701	1	64280
201701	2	101057
201701	3	88163
201701	4	110361
201701	5	3964
201701	6	18480
201701	7	12
201701	9	46
201701	10	22601
201701	11	2087
201701	12	13
201701	13	54
201701	14	685
201701	15	162
201701	100	1007
201701	101	105
201701	108	7
201701	109	2122
201701	118	1017
201701	119	165
201701	829	20
201702	0	409900
201702	1	30141
201702	2	72268
201702	3	67546
201702	4	82885
201702	5	3700
201702	6	111011
201702	7	38
201702	9	45
201702	10	23771
201702	11	2306
201702	12	4
201702	13	58
201702	14	1547
201702	15	6152
201702	100	502
201702	101	102
201702	108	5
201702	109	2147
201702	118	905
201702	119	60
201702	447	2
201702	829	17
201703	0	492603
201703	1	32212
201703	2	66136
201703	3	73613
201703	4	82586
201703	5	4505
201703	6	17693
201703	7	8
201703	9	58
201703	10	11281
201703	11	1284
201703	12	6
201703	13	57
201703	14	738
201703	15	330
201703	100	588
201703	101	67
201703	108	2
201703	109	2168
201703	118	880
201703	119	41
201703	828	2
201703	829	27
201704	0	228204
201704	1	73568
201704	2	54544
201704	3	57398
201704	4	80277
201704	5	3257
201704	6	23309
201704	7	11
201704	9	41
201704	10	7590
201704	11	1126
201704	13	45
201704	14	350
201704	15	85
201704	100	500
201704	101	68
201704	108	12
201704	109	1636
201704	118	724
201704	119	46
201704	829	19
